"","LUC_old","LUC_new"
"30","Commerical / Industrial (before)","Commerical / Industrial (after)"
"31","Other (before)","Other (after)"
"32","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"33","Commerical / Industrial (before)","Commerical / Industrial (after)"
"34","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"35","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"36","Undefined (before)","Other (after)"
"37","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"38","Commerical / Industrial (before)","Commerical / Industrial (after)"
"39","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"40","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"41","Other (before)","Other (after)"
"42","Multi-Family Residential (before)","Other (after)"
"43","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"44","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"45","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"46","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"47","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"48","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"49","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"50","Single Family Residential Suburban (before)","Other (after)"
"51","Undefined (before)","Single Family Residential Suburban (after)"
"52","Undefined (before)","Single Family Residential Suburban (after)"
"53","Undefined (before)","Single Family Residential Suburban (after)"
"54","Undefined (before)","Other (after)"
"55","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"56","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"57","Agricultural / Undeveloped (100+ Acres) (before)","Commerical / Industrial (after)"
"58","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"59","Commerical / Industrial (before)","Commerical / Industrial (after)"
"60","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"61","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"62","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"63","Other (before)","Other (after)"
"64","Undefined (before)","Single Family Residential Urban (after)"
"65","Undefined (before)","Single Family Residential Urban (after)"
"66","Undefined (before)","Single Family Residential Urban (after)"
"67","Undefined (before)","Single Family Residential Urban (after)"
"68","Undefined (before)","Single Family Residential Urban (after)"
"69","Undefined (before)","Single Family Residential Urban (after)"
"70","Undefined (before)","Single Family Residential Urban (after)"
"71","Undefined (before)","Single Family Residential Urban (after)"
"72","Undefined (before)","Single Family Residential Urban (after)"
"73","Undefined (before)","Single Family Residential Urban (after)"
"74","Undefined (before)","Single Family Residential Urban (after)"
"75","Undefined (before)","Other (after)"
"76","Undefined (before)","Single Family Residential Urban (after)"
"77","Undefined (before)","Other (after)"
"78","Undefined (before)","Single Family Residential Urban (after)"
"79","Undefined (before)","Single Family Residential Urban (after)"
"80","Undefined (before)","Single Family Residential Urban (after)"
"81","Undefined (before)","Single Family Residential Urban (after)"
"82","Undefined (before)","Single Family Residential Urban (after)"
"83","Undefined (before)","Single Family Residential Urban (after)"
"84","Undefined (before)","Single Family Residential Urban (after)"
"85","Undefined (before)","Single Family Residential Urban (after)"
"86","Undefined (before)","Single Family Residential Urban (after)"
"87","Undefined (before)","Single Family Residential Urban (after)"
"88","Undefined (before)","Single Family Residential Urban (after)"
"89","Undefined (before)","Single Family Residential Urban (after)"
"90","Undefined (before)","Single Family Residential Urban (after)"
"91","Undefined (before)","Single Family Residential Urban (after)"
"92","Undefined (before)","Single Family Residential Urban (after)"
"93","Undefined (before)","Single Family Residential Urban (after)"
"94","Undefined (before)","Single Family Residential Urban (after)"
"95","Undefined (before)","Single Family Residential Urban (after)"
"96","Undefined (before)","Other (after)"
"97","Single Family Residential Suburban (before)","Other (after)"
"98","Undefined (before)","Other (after)"
"99","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"100","Commerical / Industrial (before)","Commerical / Industrial (after)"
"101","Other (before)","Single Family Residential Urban (after)"
"102","Other (before)","Single Family Residential Urban (after)"
"103","Other (before)","Single Family Residential Urban (after)"
"104","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"105","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"106","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"107","Undefined (before)","Single Family Residential Suburban (after)"
"108","Undefined (before)","Single Family Residential Suburban (after)"
"109","Undefined (before)","Single Family Residential Suburban (after)"
"110","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"111","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"112","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"113","Single Family Residential Suburban (before)","Other (after)"
"114","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"115","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"116","Single Family Residential Suburban (before)","Other (after)"
"117","Single Family Residential Suburban (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"118","Single Family Residential Urban (before)","Other (after)"
"119","Single Family Residential Urban (before)","Other (after)"
"120","Single Family Residential Urban (before)","Other (after)"
"121","Commerical / Industrial (before)","Commerical / Industrial (after)"
"122","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"123","Single Family Residential Suburban (before)","Single Family Residential Urban (after)"
"124","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"125","Commerical / Industrial (before)","Commerical / Industrial (after)"
"126","Undefined (before)","Single Family Residential Suburban (after)"
"127","Undefined (before)","Single Family Residential Suburban (after)"
"128","Undefined (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"129","Undefined (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"130","Undefined (before)","Single Family Residential Suburban (after)"
"131","Undefined (before)","Single Family Residential Suburban (after)"
"132","Undefined (before)","Single Family Residential Suburban (after)"
"133","Undefined (before)","Single Family Residential Suburban (after)"
"134","Undefined (before)","Single Family Residential Suburban (after)"
"135","Undefined (before)","Single Family Residential Suburban (after)"
"136","Single Family Residential Suburban (before)","Other (after)"
"137","Undefined (before)","Other (after)"
"138","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"139","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"140","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"141","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"142","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"143","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"144","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"145","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"146","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"147","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"148","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"149","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"150","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"151","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"152","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"153","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"154","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"155","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"156","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"157","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"158","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"159","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"160","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"161","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"162","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"163","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"164","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"165","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"166","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"167","Undefined (before)","Single Family Residential Suburban (after)"
"168","Undefined (before)","Other (after)"
"169","Undefined (before)","Single Family Residential Suburban (after)"
"170","Undefined (before)","Single Family Residential Suburban (after)"
"171","Undefined (before)","Other (after)"
"172","Undefined (before)","Single Family Residential Suburban (after)"
"173","Undefined (before)","Single Family Residential Suburban (after)"
"174","Undefined (before)","Single Family Residential Suburban (after)"
"175","Undefined (before)","Single Family Residential Suburban (after)"
"176","Undefined (before)","Single Family Residential Suburban (after)"
"177","Undefined (before)","Single Family Residential Suburban (after)"
"178","Undefined (before)","Single Family Residential Suburban (after)"
"179","Undefined (before)","Single Family Residential Suburban (after)"
"180","Undefined (before)","Single Family Residential Suburban (after)"
"181","Undefined (before)","Single Family Residential Suburban (after)"
"182","Undefined (before)","Single Family Residential Suburban (after)"
"183","Undefined (before)","Single Family Residential Suburban (after)"
"184","Undefined (before)","Single Family Residential Suburban (after)"
"185","Undefined (before)","Single Family Residential Suburban (after)"
"186","Undefined (before)","Other (after)"
"187","Undefined (before)","Single Family Residential Suburban (after)"
"188","Undefined (before)","Single Family Residential Suburban (after)"
"189","Undefined (before)","Single Family Residential Suburban (after)"
"190","Undefined (before)","Single Family Residential Suburban (after)"
"191","Undefined (before)","Single Family Residential Suburban (after)"
"192","Undefined (before)","Single Family Residential Suburban (after)"
"193","Undefined (before)","Single Family Residential Suburban (after)"
"194","Undefined (before)","Single Family Residential Suburban (after)"
"195","Undefined (before)","Single Family Residential Suburban (after)"
"196","Undefined (before)","Single Family Residential Suburban (after)"
"197","Undefined (before)","Single Family Residential Suburban (after)"
"198","Undefined (before)","Single Family Residential Suburban (after)"
"199","Undefined (before)","Single Family Residential Suburban (after)"
"200","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"201","Undefined (before)","Single Family Residential Suburban (after)"
"202","Undefined (before)","Single Family Residential Suburban (after)"
"203","Undefined (before)","Single Family Residential Suburban (after)"
"204","Single Family Residential Suburban (before)","Other (after)"
"205","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"206","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"207","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"208","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"209","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"210","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"211","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"212","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"213","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"214","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"215","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"216","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"217","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"218","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"219","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"220","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"221","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"222","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"223","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"224","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"225","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"226","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"227","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"228","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"229","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"230","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"231","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"232","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"233","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"234","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"235","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"236","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"237","Single Family Residential Suburban (before)","Other (after)"
"238","Multi-Family Residential (before)","Single Family Residential Urban (after)"
"239","Multi-Family Residential (before)","Single Family Residential Urban (after)"
"240","Multi-Family Residential (before)","Single Family Residential Urban (after)"
"241","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"242","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"243","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"244","Single Family Residential Suburban (before)","Other (after)"
"245","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"246","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"247","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"248","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"249","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"250","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"251","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"252","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"253","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"254","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"255","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"256","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"257","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Urban (after)"
"258","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Urban (after)"
"259","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Urban (after)"
"260","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Urban (after)"
"261","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Urban (after)"
"262","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Urban (after)"
"263","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Urban (after)"
"264","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Urban (after)"
"265","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Urban (after)"
"266","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"267","Single Family Residential Urban (before)","Other (after)"
"268","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"269","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"270","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"271","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"272","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"273","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"274","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"275","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"276","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"277","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"278","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"279","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"280","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"281","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"282","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"283","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"284","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"285","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"286","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"287","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"288","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"289","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"290","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"291","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"292","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"293","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"294","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"295","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"296","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"297","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"298","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"299","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"300","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"301","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"302","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"303","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"304","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"305","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"306","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"307","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"308","Single Family Residential Urban (before)","Other (after)"
"309","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"310","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"311","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"312","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"313","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"314","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"315","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"316","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"317","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"318","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"319","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"320","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"321","Other (before)","Other (after)"
"322","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"323","Other (before)","Single Family Residential Suburban (after)"
"324","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"325","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"326","Single Family Residential Suburban (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"327","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"328","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"329","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"330","Single Family Residential Urban (before)","Other (after)"
"331","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"332","Other (before)","Undefined (after)"
"333","Other (before)","Undefined (after)"
"334","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"335","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"336","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"337","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"338","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"339","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"340","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"341","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"342","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"343","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"344","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"345","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"346","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"347","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"348","Undefined (before)","Single Family Residential Suburban (after)"
"349","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"350","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"351","Commerical / Industrial (before)","Commerical / Industrial (after)"
"352","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"353","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"354","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"355","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"356","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"357","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"358","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"359","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"360","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"361","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"362","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"363","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"364","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"365","Single Family Residential Suburban (before)","Other (after)"
"366","Commerical / Industrial (before)","Commerical / Industrial (after)"
"367","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"368","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"369","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"370","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"371","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"372","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"373","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"374","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"375","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"376","Single Family Residential Suburban (before)","Other (after)"
"377","Single Family Residential Suburban (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"378","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"379","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"380","Other (before)","Single Family Residential Suburban (after)"
"381","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"382","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"383","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"384","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"385","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"386","Other (before)","Other (after)"
"387","Other (before)","Other (after)"
"388","Single Family Residential Urban (before)","Single Family Residential Urban (after)"
"389","Undefined (before)","Commerical / Industrial (after)"
"390","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"391","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"392","Multi-Family Residential (before)","Other (after)"
"393","Other (before)","Other (after)"
"394","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"395","Single Family Residential Urban (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"396","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"397","Undefined (before)","Single Family Residential Suburban (after)"
"398","Undefined (before)","Single Family Residential Suburban (after)"
"399","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"400","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"401","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"402","Undefined (before)","Commerical / Industrial (after)"
"403","Other (before)","Other (after)"
"404","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"405","Other (before)","Other (after)"
"406","Other (before)","Other (after)"
"407","Single Family Residential Suburban (before)","Other (after)"
"408","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"409","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"410","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"411","Single Family Residential Suburban (before)","Other (after)"
"412","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"413","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"414","Single Family Residential Suburban (before)","Other (after)"
"415","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"416","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"417","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"418","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"419","Undefined (before)","Single Family Residential Urban (after)"
"420","Other (before)","Single Family Residential Urban (after)"
"421","Other (before)","Single Family Residential Urban (after)"
"422","Other (before)","Single Family Residential Urban (after)"
"423","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"424","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"425","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"426","Commerical / Industrial (before)","Commerical / Industrial (after)"
"427","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"428","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"429","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"430","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"431","Agricultural / Undeveloped (20-99 Acres) (before)","Other (after)"
"432","Other (before)","Other (after)"
"433","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"434","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"435","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"436","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"437","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"438","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"439","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"440","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"441","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"442","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
